"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/mIoU (Max)","eval/mIoU_ema (Max)","train/loss_all","train/loss_s","train/loss_x","train/loss_x_norm","train/mask_ratio","train/loss_x_gradient"
"pascal_wo_FA_183_gradient","killed","-","","","2025-01-27T19:14:58.000Z","79628","","83.83490297481025","84.40047673228695","0.036385923624038696","0.09556902199983595","0.012241469696164131","","0.935851752758026","0.001347270794212818"
"pascal_wo_FA_183","finished","-","","","2025-01-21T21:48:21.000Z","65578","","84.33911752067362","84.32522644878834","0.0021880411077290773","0.003986601252108812","0.00038948116707615554","","0.9868320226669312",""
"pascal_base_92_noFA_norm_gradient","crashed","-","","","2025-01-28T19:06:08.000Z","83576","","83.37140355003301","84.17055590140448","0.004582252819091082","0.01047220639884472","0.004241052083671093","0.002648556837812066","0.9508662223815918","0.0009671957232058048"
"pascal_base_92_noFA_norm","crashed","-","","","2025-01-28T19:14:38.000Z","83121","","84.1058891465774","84.01512645772843","0.006807463243603706","0.016732383519411087","0.0011025980347767472","0.002587408060207963","0.9926105737686156",""
"pascal_base_92_noFA","crashed","-","","","2025-01-28T19:13:56.000Z","83143","","83.59001114833033","83.84904591219956","0.03359353914856911","0.06617466360330582","0.0010124142281711102","","0.9664710760116576",""
"pascal_wo_FA_183_norm","finished","-","","","2025-01-22T17:22:22.000Z","65394","","83.83571617341796","83.80246284711598","0.010187731124460695","0.02726136334240437","0.0007034482550807297","0.002598381135612726","0.9831055402755736",""
"pascal_large_92_noFA_norm_gradient","crashed","-","","","2025-01-28T19:16:03.000Z","82988","","83.31953095908955","83.62553794472899","0.027378112077713013","0.1016220971941948","0.004541540518403053","0.0025983506347984076","0.9798898696899414","0.0007504592649638653"
"pascal_wo_FA_92_gradient","killed","-","","","2025-01-27T19:13:42.000Z","79702","","83.19976653791453","83.55465523601477","0.01062901969999075","0.02618936076760292","0.003618571674451232","","0.9760000705718994","0.0020791259594261646"
"pascal_FA_183_gradient","killed","-","","","2025-01-27T19:09:45.000Z","79941","","83.03660309078094","83.48690672796454","0.01064010988920927","0.016227982938289642","0.014789029024541378","","0.9559941291809082","0.0009033166570588946"
"pascal_FA_092_norm_gradient","crashed","-","","","2025-01-24T17:53:41.000Z","113056","","83.16914375015685","83.48287400245123","0.010225903242826462","0.03377516567707062","0.003613491309806705","0.002652184572070837","0.9740068316459656","0.0008627719944342971"
"pascal_large_92_FA_norm","crashed","-","","","2025-01-28T19:17:00.000Z","81124","","83.31868443885647","83.45279998374792","0.01268626656383276","0.032865241169929504","0.0026438261847943068","0.002549730474129319","0.9760016202926636",""
"pascal_large_92_FA_norm_gradient","crashed","-","","","2025-01-28T19:20:24.000Z","82725","","82.87951808174883","83.00797028559474","0.005064452067017555","0.010901467874646189","0.00516959372907877","0.002732057124376297","0.9301095604896544","0.0014546893071383238"
"pascal_FA_92_gradient","killed","-","","","2025-01-27T17:51:53.000Z","84610","","82.75621431526646","82.69893818425082","0.0044053397141397","0.007010622415691614","0.0049776374362409115","","0.958595871925354","0.0012277591740712523"
"pascal_base_92_FA_norm","crashed","-","","","2025-01-28T19:10:11.000Z","83374","","82.57768202772061","82.4864563154071","0.010398633778095244","0.02817186340689659","0.0004215719236526638","0.0026024633552879095","0.9655899405479432",""
"pascal_wo_FA_092_norm_gradient","finished","-","","","2025-01-24T18:19:44.000Z","172640","","82.17687645276585","82.29762712095982","0.017038414254784584","0.06195094808936119","0.002792069921270013","0.0027074208483099937","0.939261257648468","0.0007032170542515814"
"pascal_wo_FA_183_norm_gradient","finished","-","","","2025-01-24T18:18:17.000Z","172571","","82.18240813309215","82.2012291692017","0.0025953068397939205","0.00583722535520792","0.0016422775806859136","0.0025157551281154156","0.9906558394432068","0.00038596938247792423"
"pascal_large_92_noFA_norm","crashed","-","","","2025-01-28T19:16:44.000Z","81136","","81.95153612692485","81.7564076293538","0.021650752052664757","0.061119288206100464","0.0012416101526468992","0.0025913571007549763","0.95912504196167",""
"pascal_FA_92","finished","-","","","2025-01-21T18:17:10.000Z","65322","","81.66490501799665","81.68761272149534","0.03552760183811188","0.06905436515808105","0.002000836655497551","","0.9751087427139282",""
"pascal_large_92_FA_gradient","crashed","-","","","2025-01-28T19:15:26.000Z","83027","","81.30624613627872","81.67861928238972","0.005841221660375595","0.010158934630453588","0.006142938043922186","","0.9421237111091614","0.0012217913754284382"
"pascal_wo_FA_92","finished","-","","","2025-01-21T18:53:01.000Z","65705","","81.57290456239592","81.4422095680092","0.07498802989721298","0.14849360287189484","0.0014824563404545188","","0.986194372177124",""
"pascal_base_92_FA_norm_gradient","crashed","-","","","2025-01-28T19:10:53.000Z","83345","","80.94469028730921","81.3418884619316","0.005195696838200092","0.011318651027977468","0.0052417851984500885","0.002699225675314665","0.9706340432167052","0.001523124985396862"
"pascal_large_92_FA","crashed","-","","","2025-01-28T19:21:06.000Z","82712","","81.39173541801097","81.27872114470833","0.016211487352848053","0.030948475003242493","0.0014745000516995788","","0.9704201221466064",""
"pascal_base_92_FA_gradient","crashed","-","","","2025-01-28T19:11:40.000Z","83303","","80.40117164370031","80.9536894717735","0.016598766669631004","0.04150073975324631","0.0073753283359110355","","0.9332218766212464","0.0009202318033203484"
